OM azonosító;Intézmény megnevezése
026991;Városközponti Óvoda
026993;Nyugati Városrészi Óvoda
027000;Kertvárosi Óvoda
027014;VÁRHEGY ÓVODA ÉS KONYHA
027017;ERDŐSMECSKEI ÓVODA ÉS KONYHA
027021;ZENGŐ ÓVODA ÉS KONYHA
027033;Mindszentgodisai Óvoda, Mini Bölcsőde és Konyha
027035;Ófalui Német Nemzetiségi Kétnyelvű Óvoda és Mini Bölcsőde
027040;Manóvár Óvoda és Konyha
027043;Kisvaszari Napovi és Főzőkonyha
027044;NAGYPALLI NÉMET NEMZETISÉGI ÓVODA ÉS KONYHA
027050;Bólyi Óvoda, Bölcsőde és Mini Bölcsőde
027060;Lánycsóki Óvoda és Mini Bölcsőde
027070;SZEDERKÉNYI ÓVODA ÉS BÖLCSŐDE
027090;Napsugár Óvoda Beremend
027129;Keleti Városrészi Óvoda
027156;HARKÁNYI ÓVODA, MINI BÖLCSŐDE ÉS KONYHA
027160;MAGYARBÓLYI ÓVODA, MINI BÖLCSŐDE ÉS KONYHA
027170;DRÁVA KINCSE ÓVODA ÉS KONYHA
027171;Egyházasharaszti Óvoda és Bölcsőde
027207;Kenderföld-Somági Általános Iskola
027208;Komlói Kodály Zoltán Ének-zenei Katolikus Általános Iskola és Óvoda
027209;Szilvási Általános Iskola
027217;Boldog Gizella Katolikus Általános Iskola és Óvoda
027218;Szent Imre Katolikus Általános Iskola
027230;Pécsi Meszesi Általános Iskola
027240;Miroslav Krleža Horvát Óvoda, Általános Iskola, Gimnázium és Kollégium
027246;Pécsi Bánki Donát Utcai Általános Iskola
027249;Pécsi Mezőszél Utcai Általános Iskola
027261;Pécsi Testvérvárosok Terei Általános Iskola
027264;Szent Mór Katolikus Óvoda, Általános Iskola, Alapfokú Művészeti Iskola és Gimnázium
027273;Gödrei Körzeti Általános Iskola
027275;Hosszúhetényi Általános Iskola és Alapfokú Művészeti Iskola
027282;Kiss György Általános Iskola és Alapfokú Művészeti Iskola
027284;Liszt Ferenc Német Nemzetiségi Általános Iskola és Alapfokú Művészeti Iskola
027285;Mindszentgodisai Általános Iskola
027287;Kodolányi János Német Nemzetiségi Általános Iskola és Alapfokú Művészeti Iskola
027290;Vásárosdombói Általános Iskola és Alapfokú Művészeti Iskola
027292;Babarci Óvoda és Családi Bölcsőde
027294;Bólyi Általános Iskola és Alapfokú Művészeti Iskola
027302;Lánycsóki Általános Iskola és Alapfokú Művészeti Iskola
027303;Lippói Gárdonyi Géza Általános Iskola
027304;Frey János Általános Iskola
027307;Olaszi Általános Iskola
027309;Sombereki Kalász Márton Általános Iskola és Alapfokú Művészeti Iskola
027312;Szederkényi Általános Iskola
027315;Véméndi Általános Iskola
027319;ERZSÉBETI GYERMEKSZÍV ÓVODA, MINI BÖLCSŐDE ÉS KONYHA
027323;Berkesdi Fekete István Általános Iskola
027324;Bogádi Dr. Berze Nagy János Általános Iskola
027327;Kozármislenyi Janikovszky Éva Általános Iskola
027330;Orfűi Fekete István Óvoda és Konyha
027331;Pellérdi Általános Iskola
027337;Beremendi Általános Iskola és Alapfokú Művészeti Iskola
027341;Drávaszabolcsi Körzeti Általános Iskola
027342;Drávasztárai Általános Iskola
027344;Egyházasharaszti Körzeti Általános Iskola
027346;Kitaibel Pál Általános Iskola és Alapfokú Művészeti Iskola
027347;Munkácsy Albert Általános Iskola
027350;Magyarbólyi Nyelvoktató Nemzetiségi Általános Iskola
027351;Magyarmecskei Általános Iskola
027353;Nagyharsányi Óvoda, Mini Bölcsőde, Könyvtár és Konyha
027355;Kiss Géza Magyar-Horvát Kétnyelvű Nemzetiségi Általános Iskola
027356;Szalántai Általános Iskola
027357;Újpetrei Általános Iskola
027358;Vajszlói Kodolányi János Általános Iskola
027360;Villányi Általános Iskola és Alapfokú Művészeti Iskola
027361;Vokányi Általános Iskola
027363;Mattyi Óvoda
027367;Almamellék-Somogyhárságyi Általános Iskola és Kollégium
027371;Dencsháza-Hobol Általános Iskola
027396;Ciszterci Rend Nagy Lajos Gimnáziuma és Kollégiuma
027397;Pécsi Leőwey Klára Gimnázium
027398;Pécsi Kodály Zoltán Gimnázium
027399;Pécsi Apáczai Csere János Általános Iskola, Gimnázium, Kollégium, Alapfokú Művészeti Iskola
027401;Mohácsi Kisfaludy Károly Gimnázium
027402;Siklósi Táncsics Mihály Gimnázium, Általános Iskola és Alapfokú Művészeti Iskola
027404;Dél-Zselic Tinódi Lantos Sebestyén Általános Iskola
027406;Pécsi Tudományegyetem Gyakorló Általános Iskola, Gimnázium és Óvoda
027407;Pécsi Janus Pannonius Gimnázium
027413;Pécsi Református Kollégium Gimnáziuma, Technikuma, Szakképző Iskolája,  Általános Iskolája, Óvodája, Alapfokú Művészeti Iskolája és Diákotthona
027415;Gandhi Gimnázium, Technikum, Kollégium és Alapfokú Művészeti Iskola
027417;Baptista Szeretetszolgálat EJSZ Széchenyi István Gimnáziuma és Technikuma
027425;Pécsi Művészeti Gimnázium, Szakgimnázium és Technikum
027435;Mohácsi Petőfi Sándor Kollégium
027488;Kalocsa Város Óvodája és Bölcsődéje
027536;Kecskeméti Micimackó Óvoda
027537;Kinder Ovi Magán Óvoda
027539;Aranykapu Magán Óvoda
027575;Városi Óvodák és Bölcsőde
027641;Százszorszép Óvoda
027650;Kerekegyházi Bóbita Óvoda
027656;Meserét Lajosmizsei Napközi Otthonos Óvoda és Bölcsőde
027663;Pacsirta Óvoda és Minibölcsőde
027689;Tündérrózsa Napközi Otthonos Óvoda
027696;KISSZÁLLÁS KÖZSÉG ÖNKORMÁNYZAT NAPRAFORGÓ ÓVODA ÉS MINI BÖLCSŐDE
027697;Mosolyvár Óvoda és Mini Bölcsőde
027702;Bokréta Önkormányzati Óvoda és Bölcsőde
027703;Duruzsoló Óvoda és MIni Bölcsőde
027716;Szentkirályi Napközi Otthonos Óvoda
027724;KUNPESZÉRI CSODAVILÁG ÓVODA
027727;Szabadszállási Petőfi Sándor Általános Iskola
027729;Márk Ilona Hétszínvirág Óvoda és Mini Bölcsőde
027732;Bajai Eötvös József Általános Iskola
027735;Bajai Szentistváni Általános Iskola
027737;Újvárosi Általános Iskola
027743;Nagyasszonyunk Katolikus Óvoda, Általános Iskola és Gimnázium
027751;Petőfi Sándor Katolikus Általános Iskola és Óvoda
027777;Kecskeméti Református Általános Iskola
027803;Szent József Katolikus Általános Iskola és Óvoda
027804;Kiskunhalasi Fazekas Mihály Általános Iskola
027805;Kiskunhalasi Felsővárosi Általános Iskola
